90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
PURWOKERTO,119.54,120.78,120.68,121.18,122.24,122.68,123.19,123.02,123.97,124.46,126.21,126.64,116.3,117.11,116.61,117.17,118.2,118.67,119.25,119.01,120.23,120.84,122.84,123.4,114.1,114.79,114.83,114.98,115.04,116.02,116.12,116.12,116.06,116.25,116.23,116.1,-,-,-,-,-,-,-,-,-,-,-,-,138.85,142.62,144.52,144.87,146.55,146.63,146.88,147.03,147.03,147.05,148.29,148.33
KUDUS,116.82,117.99,118.57,119.62,120.65,120.9,121.24,120.91,121.58,121.75,123.99,124.57,114.78,115.47,115.82,117.11,118.17,118.39,118.37,117.95,118.79,118.89,121.68,122.39,120.69,121.17,121.7,121.72,121.72,121.92,122.49,122.49,122.49,122.49,122.51,122.59,-,-,-,-,-,-,-,-,-,-,-,-,126.42,130.67,132.55,132.73,134.17,134.59,136.87,136.88,136.96,137.58,137.87,137.92
KOTA SURAKARTA,118.44,120.08,120.5,121.03,122.22,122.73,123.54,123.59,124.83,125.26,127.2,127.97,117.21,118.38,118.61,119.01,120.34,120.95,121.77,121.8,123.23,123.6,125.86,126.57,114.14,115.4,115.52,116.1,116.13,116.16,116.63,116.85,117.01,118.37,118.3,120.28,-,-,-,-,-,-,-,-,-,-,-,-,132.32,138.16,140.38,141.93,143.06,143.21,144.16,144.29,144.99,145.05,146.22,146.37
KOTA SEMARANG,121.01,121.62,121.8,122.66,123.39,123.47,123.84,123.7,124.6,125.1,127.78,128.46,120.04,120.43,120.5,121.26,121.96,122.07,122.35,122.06,123.09,123.56,126.75,127.46,117.1,117.74,118.32,118.42,118.54,117.92,118.77,119.75,120.27,120.77,120.93,121.38,-,-,-,-,-,-,-,-,-,-,-,-,133.79,136.35,137.18,139.69,141.29,141.73,142.49,142.65,142.72,143.49,144,144.62
KOTA TEGAL,119.85,121.3,120.9,121.7,122.97,123.25,123.25,123.16,124.37,125.12,127.16,127.98,116.94,118.25,117.59,118.13,119.51,119.82,119.76,119.57,121.05,121.96,124.57,125.61,112.3,113.25,113.98,114.5,114.96,115.42,115.92,116.72,117.01,117.23,116.65,116.42,-,-,-,-,-,-,-,-,-,-,-,-,140.26,142.74,143.33,145.78,146.74,146.79,146.87,146.95,147.05,147.17,147.25,147.25
KOTA YOGYAKARTA,120.08,120.93,122.48,122.84,124.38,124.45,124.98,124.08,124.83,125.35,127.01,128.53,118.74,119.55,121.23,121.51,122.85,122.87,123.2,121.76,122.6,122.91,124.89,126.53,116.94,117.82,119.32,118.78,118.64,118.72,118.88,119.93,120.59,120.77,120.77,121.33,-,-,-,-,-,-,-,-,-,-,-,-,131.29,132.37,133.14,134.57,138.77,139.1,141.24,142.53,142.76,144.93,145.66,147.09
JEMBER,120.12,121.01,122,122.15,122.9,123.74,124.34,124.18,124.55,124.57,125.75,126.5,118.44,119.07,120.04,120.06,120.81,121.64,122.13,121.72,122.18,122.2,123.67,124.56,111.95,112.7,113.03,113.08,113.09,113.09,113.58,113.69,113.62,113.75,113.75,113.75,-,-,-,-,-,-,-,-,-,-,-,-,133.81,136.29,137.72,138.7,139.73,141.06,142.34,143.51,143.51,143.51,143.51,143.74
BANYUWANGI,113.88,115.12,115.85,116.08,116.7,117.38,117.56,117.47,117.17,116.97,118.06,117.78,111.73,112.69,113.6,113.88,114.51,115.35,115.57,115.09,114.45,114.21,115.51,115.17,109.49,109.49,109.49,109.55,110.89,110.89,110.8,111.88,111.79,111.79,111.79,111.79,-,-,-,-,-,-,-,-,-,-,-,-,127.61,130.91,130.91,130.91,131.21,131.26,131.3,132.95,134.54,134.54,134.76,134.76
SUMENEP,121.09,120.88,122.22,122.87,124.8,123.48,122.41,122.75,124.82,125.6,128.17,130.35,120.47,119.89,121.29,122.09,124.35,122.47,120.97,121.32,123.85,124.8,127.94,130.63,109.17,109.95,109.99,109.99,109.99,110.46,111.41,112.07,112.21,112.21,112.21,112.14,-,-,-,-,-,-,-,-,-,-,-,-,133,134.87,136.57,136.57,137.37,138.96,139.74,139.74,139.77,139.77,139.8,139.8
KOTA KEDIRI,119.68,120.24,120.83,120.45,121.77,122.65,122.96,122.73,123.68,124.25,125.96,126.63,117.85,118.53,119.27,118.56,120.17,121.22,121.61,121.28,122.27,122.68,124.89,125.42,114.73,115,115.02,114.81,115.02,115.58,115.59,115.57,116.61,116.6,116.45,116.92,-,-,-,-,-,-,-,-,-,-,-,-,133.29,133.36,133.41,134.8,135.13,135.24,135.24,135.48,136.14,137.93,137.93,139.58
KOTA MALANG,118.53,119.13,120.32,120.23,121.49,121.97,122.26,122.19,122.44,123.04,125.01,125.64,116.1,116.28,117.37,117.22,118.54,119.09,119.39,119.29,119.56,120.27,122.58,123.18,117.37,117.39,117.76,118.15,118.15,118.23,118.86,118.73,118.96,119.07,119.72,119.87,-,-,-,-,-,-,-,-,-,-,-,-,141.28,146.14,148.83,148.91,150.78,150.91,150.91,151.06,151.15,151.26,151.26,152.52
